[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,4681203.88,03/19/2025,7:47 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC271,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 D1,VSM_HW_VERSION
INFO,250,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,259,PREAMP_SERIAL_NUMBER
INFO,320,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,A0-8M-16H-20H-0M,SAMPLE_MATERIAL
INFO,Polvo,SAMPLE_COMMENT
INFO,26.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,4681239.08,10.0365229,200.004,,,2,,,,4.51999998504297,,,,,,,10.0365229,10.0365229,200.004,200.004,,,24.774065,,,,-99999999,4885,10.0015,200.004,,,,,,,,,,,,,,,,,,,,,,,10.0365229,,,,
,4681337.13,10.022089,200.004,0.000326242773343028,4.2059602068505E-7,1,0.999253354069792,40.0298881530762,1.97692493988286,4.50999988242984,0.00341401310481738,0.000644962887722755,0.25,2.95147255481662E-6,0.00032460608343288,4.5126577036566E-6,10.022089,10.022089,200.004,200.004,54.772618485102,19.0163844220399,24.403639,0,0,0,40,4881,9.962,200.004,,,,,,,,,,,,,0,,,,9.247201,,,,,,10.022089,,,,
,4681346.555,10.0562496,200.004,0.000326066535383078,5.28655586255421E-7,1,0.999253354069792,40.0298881530762,1.97701043388808,4.50999988242984,0.00341245735748044,0.000643818625752038,0.25,2.87141522487949E-6,0.000324431089398501,4.43214695402316E-6,10.0562496,10.0562496,200.004,200.004,54.556107385275,19.0199576319537,24.774065,0,0,0,40,4882,10.0554,200.004,,,,,,,,,,,,,0,,,,9.247201,,,,,,10.0562496,,,,
,4681414.98,15.137538,200.004,0.000310996396774104,4.69008876411141E-7,1,0.999253354069792,40.0298881530762,1.97768890388248,4.50999988242984,0.00325644700016816,0.000610472031623614,0.25,2.37778747492033E-6,0.00030943443015894,3.86813207773844E-6,15.137538,15.137538,200.004,200.004,55.1446736602558,19.0080607020888,24.403639,0,0,0,40,4886,15.4379,200.004,,,,,,,,,,,,,0,,,,10.6353035,,,,,,15.137538,,,,
,4681492.64,21.461031,200.004,,,2,,,,4.54000002091751,,,,,,,21.461031,21.461031,200.004,200.004,,,24.774065,,,,-99999999,4886,22.045,200.004,,,,,,,,,,,,,,,,,,,,,,,21.461031,,,,
touchdown = -0.539999979082495 mm,4681507.02,22.6584225,200.004,0.000300242545601616,6.0185961284148E-7,1,0.999253354069792,40.0298881530762,2.0003658560355,4.53000003471971,0.00317863924502814,0.000595306198406344,0.25,2.20075369631905E-6,0.000298761938545834,3.68208627653663E-6,22.6584225,22.6584225,200.004,200.004,54.4865424470635,19.0099314017673,24.403639,0,0,0,40,4886,23.25095,200.004,,,,,,,,,,,,,0,,,,11.9898119,,,,,,22.6584225,,,,
,4681537.08,25.11417965,200.004,0.00029792568365158,4.01885285019637E-7,1,0.999253354069792,40.0298881530762,2.00065334374187,4.54000011086464,0.0031541366618118,0.000595350878912872,0.25,2.56123975825933E-6,0.000296491907085022,4.07487252463612E-6,25.0676308,25.1607285,200.004,200.004,54.7679287139866,19.0106660704328,24.403639,0,0,0,40,4886,25.801,200.004,,,,,,,,,,,,,0,,,,12.3545799,,,,,,25.11417965,,,,
,4681597.57,30.0676746,200.004,0.000294334305713566,2.59416443392002E-7,1,0.999253354069792,40.0298881530762,2.00146562939993,4.54000011086464,0.00311834985290591,0.000590922382621097,0.25,2.60314220179063E-6,0.000293051405843611,4.23870191643408E-6,30.0676746,30.0676746,200.004,200.004,54.728847288025,18.9952630356762,24.774065,0,0,0,40,4886,30.99735,200.004,,,,,,,,,,,,,0,,,,12.9880023,,,,,,30.0676746,,,,
,4681631.69,32.8043518,200.004,,,2,,,,4.55999999858439,,,,,,,32.8043518,32.8043518,200.004,200.004,,,24.774065,,,,-99999999,4886,33.8792,200.004,,,,,,,,,,,,,,,,,,,,,,,32.8043518,,,,
,4681659.77,35.0222282,200.004,0.000291680450076026,2.40173121268946E-7,1,0.999253354069792,40.0298881530762,2.00142057717952,4.54000011086464,0.00309246651910434,0.000587355148289332,0.25,2.51275294179063E-6,0.000290646460841574,4.32529164981825E-6,35.0222282,35.0222282,200.004,200.004,54.9008055622558,18.9968006049778,24.774065,0,0,0,40,4886,36.31695,200.004,,,,,,,,,,,,,0,,,,13.5168295,,,,,,35.0222282,,,,
