[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,4674139.39,03/19/2025,5:49 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC271,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 D1,VSM_HW_VERSION
INFO,250,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,259,PREAMP_SERIAL_NUMBER
INFO,320,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,A0-8M-16H-20H-0M,SAMPLE_MATERIAL
INFO,Polvo,SAMPLE_COMMENT
INFO,26.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,4674176.48,10.0326529,200.004,,,2,,,,4.41000002056361,,,,,,,10.0326529,10.0326529,200.004,200.004,,,24.403639,,,,-99999999,4885,9.9831,200.004,,,,,,,,,,,,,,,,,,,,,,,10.0326529,,,,
,4674263.585,10.0219498,200.004,0.000273598910480281,4.07848418625634E-7,1,0.999253354069792,40.0298881530762,1.99982301454753,4.39999997615814,0.00289511127935155,0.000544959325531843,0.25,2.29500499760547E-6,0.000272227194042306,3.60516713169275E-6,10.0219498,10.0219498,200.004,200.004,55.9200491513328,19.0178636519024,24.774065,0,0,0,40,4881,9.9574,200.004,,,,,,,,,,,,,0,,,,9.38692955,,,,,,10.0219498,,,,
,4674273.17,10.0577946,200.004,0.000273557449149343,2.12852099802827E-7,1,0.999253354069792,40.0298881530762,1.999834095447,4.38999990001321,0.00289466906860285,0.000544983177551433,0.25,2.30443205401619E-6,0.000272185876440089,3.61434680951468E-6,10.0577946,10.0577946,200.004,200.004,53.1992002758902,19.029367206863,24.403639,0,0,0,40,4882,10.0472,200.004,,,,,,,,,,,,,0,,,,9.5285311,,,,,,10.0577946,,,,
,4674342.51,15.1744184,200.004,0.000260206454442311,4.01515728357237E-7,1,0.999253354069792,40.0298881530762,2.0002212619676,4.39999997615814,0.00275345270832284,0.000520788806663299,0.25,2.41031344471273E-6,0.000258897515228202,3.65516590909317E-6,15.1744184,15.1744184,200.004,200.004,53.6861548433711,19.0214407935249,24.774065,0,0,0,40,4886,15.4736,200.004,,,,,,,,,,,,,0,,,,10.8499308,,,,,,15.1744184,,,,
,4674418.31,21.3624115,200.004,,,2,,,,4.44000001616777,,,,,,,21.3624115,21.3624115,200.004,200.004,,,24.774065,,,,-99999999,4886,21.9083,200.004,,,,,,,,,,,,,,,,,,,,,,,21.3624115,,,,
touchdown = -0.63999998383224 mm,4674432.715,22.5586491,200.004,0.000252846296857783,4.64150682108562E-7,1,0.999253354069792,40.0298881530762,1.99996445029978,4.42000012844801,0.00267573727023033,0.000504564709046799,0.25,2.16902717534615E-6,0.000251596782646138,3.41361224158246E-6,22.5586491,22.5586491,200.004,200.004,54.4193223944096,19.016235873959,24.774065,0,0,0,40,4886,23.1401,200.004,,,,,,,,,,,,,0,,,,12.2317734,,,,,,22.5586491,,,,
,4674464.59,25.1945057,200.004,0.000252029300001781,2.21806949929804E-7,1,0.999253354069792,40.0298881530762,2.00057419024553,4.42000012844801,0.00266799150441226,0.000504462079171292,0.25,2.24492996115906E-6,0.000250817109852256,3.52632660688632E-6,25.1945057,25.1945057,200.004,200.004,54.5037382744865,19.0032465356105,24.774065,0,0,0,40,4886,25.8743,200.004,,,,,,,,,,,,,0,,,,12.66717435,,,,,,25.1945057,,,,
,4674524.64,30.0406094,200.004,0.000250463411173501,3.11157587331788E-7,1,0.999253354069792,40.0298881530762,2.0005262831988,4.43000020459294,0.00265266660056226,0.000500982545406901,0.25,2.06054431516061E-6,0.000249372870916135,3.45319286791312E-6,30.0406094,30.0406094,200.004,200.004,52.9686198627171,19.0086878838199,24.774065,0,0,0,40,4886,31.0047,200.004,,,,,,,,,,,,,0,,,,13.315959,,,,,,30.0406094,,,,
,4674558.64,32.8568878,200.004,,,2,,,,4.45999999383465,,,,,,,32.8568878,32.8568878,200.004,200.004,,,24.774065,,,,-99999999,4886,33.9051,200.004,,,,,,,,,,,,,,,,,,,,,,,32.8568878,,,,
,4674587.325,35.1046829,200.004,0.000249867810753929,4.94058513034996E-7,1,0.999253354069792,40.0298881530762,2.00032233145054,4.44999989122152,0.00264807140214216,0.000501374529734584,0.25,2.00746050247117E-6,0.000248985105201235,3.56221235407525E-6,35.1046829,35.1046829,200.004,200.004,54.8179529392173,19.0112186503061,24.774065,0,0,0,40,4886,36.364,200.004,,,,,,,,,,,,,0,,,,14.0678911,,,,,,35.1046829,,,,
,4674649.52,40.0937729,200.004,0.000250323885959341,2.42570242249495E-7,1,0.999253354069792,40.0298881530762,2.00096840241014,4.44999989122152,0.00265702530223443,0.000502685941924417,0.25,1.81366536429289E-6,0.000249743974011819,3.53822773092627E-6,40.0937729,40.0937729,200.004,200.004,55.1220064331981,18.9969313533414,24.774065,0,0,0,40,4886,41.67985,200.004,,,,,,,,,,,,,0,,,,14.6414185,,,,,,40.0937729,,,,
