[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,A0-8M-16H-20H-5M-MVST-FC
FILEOPENTIME,5785796.84,04/01/2025,2:37 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC271,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 D1,VSM_HW_VERSION
INFO,250,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,259,PREAMP_SERIAL_NUMBER
INFO,320,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,A0-8M-16H-20H-5M,SAMPLE_MATERIAL
INFO,A0-8M-16H-20H-5M,SAMPLE_COMMENT
INFO,21.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,5785832.92,10.0330811,199.91,,,2,,,,6.41999997468665,,,,,,,10.0330811,10.0330811,199.91,199.91,,,25.515081,,,,-99999999,4885,9.9855,199.91,,,,,,,,,,,,,,,,,,,,,,,10.0330811,,,,
,5785926.775,10.0215883,199.91,0.000119594727100023,3.5692075487229E-7,1,0.999253354069792,40.0298881530762,2.00008387978134,6.40999991446733,0.00126536425381582,0.000239886002988734,0.25,1.1584289633892E-6,0.00011899437638173,1.73035057508465E-6,10.0215883,10.0215883,199.91,199.91,53.8549866035249,18.9924324162558,25.144545,0,0,0,40,4881,9.9747,199.91,,,,,,,,,,,,,0,,,,9.433816,,,,,,10.0215883,,,,
,5785935.845,10.0542722,199.91,0.000119466280754707,4.73322757433234E-7,1,0.999253354069792,40.0298881530762,1.9999374546269,6.40999991446733,0.00126360123487461,0.000241369644815898,0.25,1.32306568785136E-6,0.000118865766823063,1.89354800040979E-6,10.0455542,10.0629902,199.91,199.91,54.0707160748326,18.9934247424607,25.885674,0,0,0,40,4882,10.05045,199.91,,,,,,,,,,,,,0,,,,9.38692955,,,,,,10.0542722,,,,
,5786003.12,15.0332479,199.91,0.000115653230642404,4.85328024852895E-7,1,0.999253354069792,40.0298881530762,1.99986958080144,6.40999991446733,0.00122331902766272,0.000233081479495523,0.25,1.2266848887298E-6,0.000115070750311425,1.77920664285338E-6,15.0332479,15.0332479,199.91,199.91,53.994116479948,18.9980690965759,25.144545,0,0,0,40,4886,15.35335,199.91,,,,,,,,,,,,,0,,,,10.8499308,,,,,,15.0332479,,,,
,5786065.08,20.1051941,199.91,0.000113233945274974,4.21185898149284E-7,1,0.999253354069792,40.0298881530762,2.00043640189625,6.41999999061227,0.00119867396762184,0.000224908654533996,0.25,8.79390296344217E-7,0.000112666818538341,1.4264289048079E-6,20.1051941,20.1051941,199.91,199.91,53.1898207336595,18.9914271709015,25.885674,0,0,0,40,4886,20.56455,199.91,,,,,,,,,,,,,0,,,,11.8706312,,,,,,20.1051941,,,,
,5786083.25,21.5723553,199.91,,,2,,,,6.4400000105612,,,,,,,21.5723553,21.5723553,199.91,199.91,,,25.144545,,,,-99999999,4886,22.1149,199.91,,,,,,,,,,,,,,,,,,,,,,,21.5723553,,,,
,5786125.555,25.0684986,199.91,0.000112040933158714,4.58355907688657E-7,1,0.999253354069792,40.0298881530762,2.00010390780245,6.41999999061227,0.00118549418772127,0.000225874548804379,0.25,1.15617230399773E-6,0.000111500318919334,1.72399331885883E-6,25.0214481,25.1155491,199.91,199.91,54.8484364514673,18.993459259078,25.515081,0,0,0,40,4886,25.7392,199.91,,,,,,,,,,,,,0,,,,12.6039028,,,,,,25.0684986,,,,
,5786188.5,30.2045021,199.91,0.000110884969351214,4.86713027304904E-7,1,0.999253354069792,40.0298881530762,2.00034589211408,6.4300000667572,0.00117373635093319,0.000224902898851082,0.25,1.20555443760084E-6,0.000110401867425626,1.82215998009448E-6,30.2045021,30.2045021,199.91,199.91,53.8291928623903,18.991721763787,25.515081,0,0,0,40,4886,31.1113,199.91,,,,,,,,,,,,,0,,,,13.3824711,,,,,,30.2045021,,,,
,5786223.64,33.0069122,199.91,,,2,,,,6.45999998822808,,,,,,,33.0069122,33.0069122,199.91,199.91,,,25.885674,,,,-99999999,4886,34.1019,199.91,,,,,,,,,,,,,,,,,,,,,,,33.0069122,,,,
,5786249.875,35.0984688,199.91,0.000109995498881844,5.00187270660965E-7,1,0.999253354069792,40.0298881530762,1.98926813318886,6.44000014290214,0.001158991226171,0.000222782990933281,0.25,1.18976258451972E-6,0.000109605396003492,1.87337645340782E-6,35.0984688,35.0984688,199.91,199.91,53.5657840514095,18.9991000098283,25.885674,0,0,0,40,4886,36.38165,199.91,,,,,,,,,,,,,0,,,,14.0678911,,,,,,35.0984688,,,,
,5786310.405,40.0695076,199.91,0.000109723757858988,4.95652429026431E-7,1,0.999253354069792,40.0298881530762,1.98923517869893,6.44000014290214,0.00115755344889993,0.000222063529091591,0.25,1.07674625644437E-6,0.000109464080203624,1.83053885799131E-6,40.0695076,40.0695076,199.91,199.91,54.0761874744673,18.9934314777179,25.885674,0,0,0,40,4886,41.56,199.91,,,,,,,,,,,,,0,,,,14.4958811,,,,,,40.0695076,,,,
,5786365.66,44.5231438,199.91,,,2,,,,6.45999998822808,,,,,,,44.5231438,44.5231438,199.91,199.91,,,25.515081,,,,-99999999,4886,46.2424,199.91,,,,,,,,,,,,,,,,,,,,,,,44.5231438,,,,
touchdown = 0.609999988228083 mm,5786380.38,45.6209106,199.91,0.000108529098364606,2.71860112530579E-7,1,0.999253354069792,40.0298881530762,1.98902923018858,6.45000021904707,0.00114721985313877,0.000217899561084741,0.25,8.14550877881227E-7,0.000108462759711718,1.61473993379631E-6,45.6209106,45.6209106,199.91,199.91,53.8471703183326,19.001400500413,25.515081,0,0,0,40,4886,47.5408,199.91,,,,,,,,,,,,,0,,,,15.0868568,,,,,,45.6209106,,,,
,5786435.335,50.0878983,199.91,0.000108724519979828,4.30029577811048E-7,1,0.999253354069792,40.0298881530762,1.98951657456722,6.45999982953072,0.00115094451285182,0.000220408381306532,0.25,9.75738622740617E-7,0.000108818224301307,1.7844084339131E-6,50.0878983,50.0878983,199.91,199.91,53.9878634517942,18.9939061856841,25.885674,0,0,0,40,4886,52.2821,199.91,,,,,,,,,,,,,0,,,,15.3913193,,,,,,50.0878983,,,,
,5786507.03,55.7605705,199.91,,,2,,,,6.45999998822808,,,,,,,55.7605705,55.7605705,199.91,199.91,,,25.885674,,,,-99999999,4886,58.4533,199.91,,,,,,,,,,,,,,,,,,,,,,,55.7605705,,,,
touchdown = 0.609999988228083 mm,5786522.025,57.0068474,199.91,0.000108100841454448,3.65854185960346E-7,1,0.999253354069792,40.0298881530762,2.00005800521003,6.45000021904707,0.00115305822608776,0.000217779604658154,0.25,7.49697895067484E-7,0.000108421538637779,1.50255391648202E-6,57.0068474,57.0068474,199.91,199.91,53.4258725464672,19.0013682669826,25.885674,0,0,0,40,4886,59.73505,199.91,,,,,,,,,,,,,0,,,,16.0188007,,,,,,57.0068474,,,,
,5786561.375,60.1341152,199.91,0.000108188409452048,2.40910562770182E-7,1,0.999253354069792,40.0298881530762,2.00037879295606,6.45999982953072,0.00115550451032558,0.000215647272335058,0.25,5.56244329934482E-7,0.000108593727806065,1.2693864387299E-6,60.0787773,60.1894531,199.91,199.91,54.1223035571019,18.990745650446,25.885674,0,0,0,40,4886,63.1554,199.91,,,,,,,,,,,,,0,,,,16.3420715,,,,,,60.1341152,,,,
,5786623.28,65.071579,199.91,0.000107844930384853,4.6681982593321E-7,1,0.999253354069792,40.0298881530762,2.00026605681962,6.45000021904707,0.00115244270987717,0.000217378652375831,0.25,8.32744056291161E-7,0.000108348389470593,1.47568973311391E-6,65.071579,65.071579,199.91,199.91,53.7783870086403,18.9944155486602,25.515081,0,0,0,40,4886,68.50865,199.91,,,,,,,,,,,,,0,,,,16.6718655,,,,,,65.071579,,,,
,5786649.92,67.1701813,199.91,,,2,,,,6.45999998822808,,,,,,,67.1701813,67.1701813,199.91,199.91,,,25.515081,,,,-99999999,4886,70.8269,199.91,,,,,,,,,,,,,,,,,,,,,,,67.1701813,,,,
,5786686.6,70.1105881,199.91,0.000107174863068162,2.73226102589239E-7,1,0.999253354069792,40.0298881530762,1.98941199261669,6.45000021904707,0.0011409078471709,0.000210631107601578,0.25,4.82862899964266E-7,0.000107749248934267,1.05023622669638E-6,70.1105881,70.1105881,199.91,199.91,54.3098944017173,18.9907673614786,25.515081,0,0,0,40,4886,73.9959,199.91,,,,,,,,,,,,,0,,,,16.92378995,,,,,,70.1105881,,,,
,5786747.75,75.0230026,199.91,0.000107070365961367,2.13106670515773E-7,1,0.999253354069792,40.0298881530762,1.98943028901958,6.45999982953072,0.00114002512010102,0.000212022176678016,0.25,6.84758235126463E-7,0.000107689756202082,1.19159690163464E-6,75.0230026,75.0230026,199.91,199.91,54.3286534861788,18.9944293257606,25.515081,0,0,0,40,4886,79.2767,199.91,,,,,,,,,,,,,0,,,,17.351553,,,,,,75.0230026,,,,
,5786792.58,78.550827,199.91,,,2,,,,6.45000002849847,,,,,,,78.550827,78.550827,199.91,199.91,,,25.885674,,,,-99999999,4886,83.1469,199.91,,,,,,,,,,,,,,,,,,,,,,,78.550827,,,,
,5786811.57,80.1461487,199.91,0.000107018215293352,4.8256622642894E-7,1,0.999253354069792,40.0298881530762,1.97662835883838,6.44000014290214,0.00113252630174273,0.000212164975135914,0.25,8.8004201685415E-7,0.000107667885302023,1.33261490640358E-6,80.1461487,80.1461487,199.91,199.91,54.7022719183712,18.9920192761423,25.515081,0,0,0,40,4886,84.755,199.91,,,,,,,,,,,,,0,,,,17.5257778,,,,,,80.1461487,,,,
,5786873.64,85.0823898,199.91,0.000106658000747966,4.92446407382939E-7,1,0.999253354069792,40.0298881530762,1.97685608590499,6.44000014290214,0.00113047772494309,0.000203445329617003,0.25,1.62324985673323E-7,0.000107327358933893,5.62755786548239E-7,85.0823898,85.0823898,199.91,199.91,54.085567016698,18.9958443647739,25.515081,0,0,0,40,4886,90.13675,199.91,,,,,,,,,,,,,0,,,,17.7017174,,,,,,85.0823898,,,,
,5786935.08,90.0336609,199.91,,,2,,,,6.4400000105612,,,,,,,90.0336609,90.0336609,199.91,199.91,,,25.515081,,,,-99999999,4886,95.4316,199.91,,,,,,,,,,,,,,,,,,,,,,,90.0336609,,,,
touchdown = 0.590000010561198 mm,5786949.93,91.2252579,199.91,0.000106366618457727,3.98540157643749E-7,1,0.999253354069792,40.0298881530762,2.00030878998918,6.4300000667572,0.00114020756188694,0.000205609633260261,0.25,2.45738066243228E-7,0.000107045586300696,5.98859936699041E-7,91.2252579,91.2252579,199.91,199.91,54.8851729918712,18.9957998198146,25.885674,0,0,0,40,4886,96.67135,199.91,,,,,,,,,,,,,0,,,,18.0589504,,,,,,91.2252579,,,,
,5786998.655,95.0974197,199.91,0.000106249069915802,2.20226263120754E-7,1,0.999253354069792,40.0298881530762,2.00025395956593,6.44000014290214,0.00113828251696726,0.000209144365389809,0.25,6.21492397929389E-7,0.00010692932726736,9.51192018297947E-7,95.0974197,95.0974197,199.91,199.91,54.3974367958711,18.9971855396915,25.515081,0,0,0,40,4886,100.8646,199.91,,,,,,,,,,,,,0,,,,18.2402782,,,,,,95.0974197,,,,
,5787058.87,100.0461731,199.91,0.000105818308788146,4.96166349338207E-7,1,0.999253354069792,40.0298881530762,2.00030254599696,6.4300000667572,0.00113423250227267,0.000205274467095338,0.25,3.64189701943834E-7,0.000106496742873861,6.63285618317837E-7,100.0461731,100.0461731,199.91,199.91,54.2450192346211,18.9899083678943,25.515081,0,0,0,40,4886,106.1187,199.91,,,,,,,,,,,,,0,,,,18.51588535,,,,,,100.0461731,,,,
,5787077.48,101.454483,199.91,,,2,,,,6.41999997468665,,,,,,,101.454483,101.454483,199.91,199.91,,,25.515081,,,,-99999999,4886,107.7242,199.91,,,,,,,,,,,,,,,,,,,,,,,101.454483,,,,
,5787121.65,105.1365814,199.91,0.000105431618579341,2.50637149348121E-7,1,0.999253354069792,40.0298881530762,1.98931678066649,6.40999991446733,0.0011240333491786,0.00020400254591038,0.25,4.3926576141732E-7,0.000106104332167556,7.13297710491677E-7,105.1365814,105.1365814,199.91,199.91,54.251272262775,18.9927695753341,25.885674,0,0,0,40,4886,111.56485,199.91,,,,,,,,,,,,,0,,,,18.7017832,,,,,,105.1365814,,,,
,5787182.64,110.1750565,199.91,0.000105335761456243,3.53616626954078E-7,1,0.999253354069792,40.0298881530762,1.9894830719314,6.41999999061227,0.00112271504867781,0.000205662868205957,0.25,6.31723733880242E-7,0.000106001769486128,8.86197277916318E-7,110.1750565,110.1750565,199.91,199.91,54.3419411710057,18.9921578373032,25.885674,0,0,0,40,4886,116.8759,199.91,,,,,,,,,,,,,0,,,,18.795187,,,,,,110.1750565,,,,
,5787214.16,112.7812881,199.91,,,2,,,,6.39999999701977,,,,,,,112.7812881,112.7812881,199.91,199.91,,,25.885674,,,,-99999999,4886,119.6521,199.91,,,,,,,,,,,,,,,,,,,,,,,112.7812881,,,,
,5787242.305,115.084343,199.91,0.000105691387776184,3.91674645195143E-7,1,0.999253354069792,40.0298881530762,2.00031473615433,6.3999998383224,0.00113269589625429,0.000205047404128253,0.25,4.30226784080722E-7,0.000106352658684634,6.67028106550991E-7,115.084343,115.084343,199.91,199.91,54.2895720602173,18.9913951492619,25.515081,0,0,0,40,4886,121.98165,199.91,,,,,,,,,,,,,0,,,,19.07919695,,,,,,115.084343,,,,
,5787301.65,120.0268173,199.91,0.00010495993200853,2.08190620325184E-7,1,0.999253354069792,40.0298881530762,2.00050991853768,6.3999998383224,0.00112475135006369,0.000204280205853596,0.25,5.02997902565167E-7,0.000105607551174682,7.23352360866868E-7,120.0268173,120.0268173,199.91,199.91,54.4365182218327,18.9956457157796,25.515081,0,0,0,40,4886,127.1767,199.91,,,,,,,,,,,,,0,,,,19.3670158,,,,,,120.0268173,,,,
,5787351.09,124.0859756,199.91,,,2,,,,6.3899999790825,,,,,,,124.0859756,124.0859756,199.91,199.91,,,25.515081,,,,-99999999,4886,131.47,199.91,,,,,,,,,,,,,,,,,,,,,,,124.0859756,,,,
touchdown = 0.539999979082495 mm,5787366.555,125.3885727,199.91,0.000105327773327761,4.70917081163809E-7,1,0.999253354069792,40.0298881530762,2.00020447020115,6.39000022783875,0.00112832356761048,0.000205432557007624,0.25,5.64573914848394E-7,0.000105966390971835,7.71590129316079E-7,125.3885727,125.3885727,199.91,199.91,53.9691043673326,18.9892898070277,25.515081,0,0,0,40,4886,132.7677,199.91,,,,,,,,,,,,,0,,,,19.5614395,,,,,,125.3885727,,,,
,5787424.205,130.1405029,199.91,0.000105203227901042,5.11468891075054E-7,1,0.999253354069792,40.0298881530762,2.00035115633449,6.3999998383224,0.00112679269962583,0.000206085343056125,0.25,6.59300537587492E-7,0.000105830018321302,8.55271393805086E-7,130.1405029,130.1405029,199.91,199.91,53.9933348514288,18.9917926457227,25.515081,0,0,0,40,4886,137.7395,199.91,,,,,,,,,,,,,0,,,,19.7578545,,,,,,130.1405029,,,,
,5787489.05,135.5837097,199.91,,,2,,,,6.37000000141561,,,,,,,135.5837097,135.5837097,199.91,199.91,,,25.885674,,,,-99999999,4886,143.3606,199.91,,,,,,,,,,,,,,,,,,,,,,,135.5837097,,,,
