[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,A0-8M-16H-20H-5M-MVST-ZFC
FILEOPENTIME,5778780.91,04/01/2025,12:41 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC271,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 D1,VSM_HW_VERSION
INFO,250,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,259,PREAMP_SERIAL_NUMBER
INFO,320,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,A0-8M-16H-20H-5M,SAMPLE_MATERIAL
INFO,A0-8M-16H-20H-5M,SAMPLE_COMMENT
INFO,21.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,5778818.94,10.0315123,199.91,,,2,,,,6.41000001495704,,,,,,,10.0315123,10.0315123,199.91,199.91,,,24.774065,,,,-99999999,4885,9.9804,199.91,,,,,,,,,,,,,,,,,,,,,,,10.0315123,,,,
,5778911.58,10.01776455,199.91,0.000106517405383728,5.56754474001781E-7,1,0.999253354069792,40.0298881530762,1.99924823608337,6.3999998383224,0.00112656102778005,0.000213516560121493,0.25,1.02670869633738E-6,0.000105982726292669,1.5361175315453E-6,10.0171194,10.0184097,199.91,199.91,51.8454196805824,19.0305305186464,25.144545,0,0,0,40,4881,9.9585,199.91,,,,,,,,,,,,,0,,,,9.38692955,,,,,,10.01776455,,,,
,5778920.49,10.0404158,199.91,0.00010622203803705,3.50667759984541E-7,1,0.999253354069792,40.0298881530762,1.9994679172366,6.3999998383224,0.00112307706326329,0.000215607491813193,0.25,1.27497126343453E-6,0.00010568762449461,1.78171867555034E-6,10.0404158,10.0404158,199.91,199.91,52.2792235087555,19.031484876974,24.774065,0,0,0,40,4882,10.0372,199.91,,,,,,,,,,,,,0,,,,9.433816,,,,,,10.0404158,,,,
,5778987.35,15.0016508,199.91,0.000103504926629994,4.65671784787477E-7,1,0.999253354069792,40.0298881530762,1.99951737763881,6.3999998383224,0.00109503496029788,0.000206346433399152,0.25,8.88603311306734E-7,0.000102984651273496,1.38413094609889E-6,15.0016508,15.0016508,199.91,199.91,53.6064287344095,19.0370070314421,24.774065,0,0,0,40,4886,15.2638,199.91,,,,,,,,,,,,,0,,,,10.7420807,,,,,,15.0016508,,,,
,5779048.835,20.0532894,199.91,0.000101213085385549,4.70457889086835E-7,1,0.999253354069792,40.0298881530762,1.99979080236068,6.3999998383224,0.001071139752775,0.000200704754327368,0.25,7.61167634248776E-7,0.000100706145528456,1.25006437357155E-6,20.0532894,20.0532894,199.91,199.91,52.6247033142556,19.0410297098237,24.774065,0,0,0,40,4886,20.491,199.91,,,,,,,,,,,,,0,,,,11.8706312,,,,,,20.0532894,,,,
,5779066.75,21.4327507,199.91,,,2,,,,6.41999997468665,,,,,,,21.4327507,21.4327507,199.91,199.91,,,25.144545,,,,-99999999,4886,21.992,199.91,,,,,,,,,,,,,,,,,,,,,,,21.4327507,,,,
,5779111.28,25.107542,199.91,0.000100467251388006,2.8701643351195E-7,1,0.999253354069792,40.0298881530762,1.99946417997751,6.40999991446733,0.00106321175801117,0.000199710236906126,0.25,7.74919280114793E-7,9.99841507805357E-5,1.28571213110363E-6,25.107542,25.107542,199.91,199.91,51.9196743899093,19.0252127185136,24.774065,0,0,0,40,4886,25.7924,199.91,,,,,,,,,,,,,0,,,,12.4786186,,,,,,25.107542,,,,
,5779172.88,30.1470413,199.91,9.99780104617646E-5,2.4244552841216E-7,1,0.999253354069792,40.0298881530762,1.99924111177277,6.40999991446733,0.00105782782288309,0.00020207183513079,0.25,1.03094845307086E-6,9.9542047891905E-5,1.58648708093188E-6,30.1470413,30.1470413,199.91,199.91,53.3922625201403,19.0210514582546,24.774065,0,0,0,40,4886,31.05245,199.91,,,,,,,,,,,,,0,,,,13.18359665,,,,,,30.1470413,,,,
,5779206.69,32.8178825,199.91,,,2,,,,6.45000002849847,,,,,,,32.8178825,32.8178825,199.91,199.91,,,24.774065,,,,-99999999,4886,33.9186,199.91,,,,,,,,,,,,,,,,,,,,,,,32.8178825,,,,
,5779233.37,35.0025597,199.91,9.96802154836248E-5,4.07038691395392E-7,1,0.999253354069792,40.0298881530762,1.9997030597031,6.44000014290214,0.00105565523895263,0.000202176108397463,0.25,1.01256278064224E-6,9.93239728718257E-5,1.63015822608157E-6,35.0025597,35.0025597,199.91,199.91,53.5016905128326,19.0336917202643,25.144545,0,0,0,40,4886,36.2181,199.91,,,,,,,,,,,,,0,,,,14.0678911,,,,,,35.0025597,,,,
